numero;despacho;data
102012003900;9.2;2022-01-18
102012004456;9.1;2022-01-04
102012005556;9.1;2022-01-04
102012005795;9.1;2022-01-04
102012006153;9.1;2022-01-11
102012006538;9.1;2022-01-04
102012008710;9.1;2022-01-11
102012019164;9.1;2022-01-04
102012019712;9.2;2022-01-11
102012021043;9.1;2022-01-11
102012021507;9.2;2022-01-11
102012021998;9.1;2022-01-11
102012024124;9.1;2022-01-11
102012025483;9.1;2022-01-04
102012025520;9.1;2022-01-25
102012027259;9.1;2022-01-25
102012028485;9.2;2022-01-25
102012029163;9.1;2022-01-11
102012030523;9.1;2022-01-18
102012030753;9.1;2022-01-11
102012031535;9.1;2022-01-25
102012031804;11.2;2022-01-11
102012033825;11.2;2022-01-11
102013001440;9.1;2022-01-04
102013001764;9.1;2022-01-04
102013004143;9.2;2022-01-25
102013007586;9.1;2022-01-11
102013007620;9.1;2022-01-25
102013007649;9.1;2022-01-11
102013008131;9.2;2022-01-18
102013011585;9.2;2022-01-25
102013012829;9.1;2022-01-11
102013013357;9.2;2022-01-11
102013013383;9.1;2022-01-11
102013013697;9.1;2022-01-11
102013014249;9.1;2022-01-25
102013014573;9.1;2022-01-18
102013014921;9.1;2022-01-11
102013015442;9.1;2022-01-25
102013015772;9.1;2022-01-11
102013019407;9.1;2022-01-18
102013020691;9.2;2022-01-25
102013021396;9.2;2022-01-18
102013024123;9.1;2022-01-18
102013026074;9.2;2022-01-11
102013027035;9.2;2022-01-04
102013027355;9.1;2022-01-18
102013027358;9.1;2022-01-25
102013027471;9.2;2022-01-25
102013027703;9.1;2022-01-11
102013028211;9.2;2022-01-04
102013028483;9.2;2022-01-18
102013029251;9.1;2022-01-04
102013029633;9.1;2022-01-25
102013030364;9.1;2022-01-25
102013031167;9.1;2022-01-18
102013031330;9.1;2022-01-04
102013034037;9.1;2022-01-04
102014003745;9.1;2022-01-18
102014004132;11.2;2022-01-18
102014005847;9.1;2022-01-11
102014005962;9.2;2022-01-11
102014006214;9.1;2022-01-18
102014006238;9.1;2022-01-04
102014006298;9.1;2022-01-25
102014006644;9.1;2022-01-25
102014006849;9.1;2022-01-04
102014007242;9.1;2022-01-11
102014007421;9.1;2022-01-25
102014007559;9.1;2022-01-11
102014008191;9.1;2022-01-11
102014008642;9.2;2022-01-18
102014008903;9.1;2022-01-04
102014011292;9.2;2022-01-18
102014012437;9.2;2022-01-11
102014012625;11.2;2022-01-11
102014013382;9.1;2022-01-25
102014014409;9.1;2022-01-25
102014015139;9.1;2022-01-18
102014015196;9.1;2022-01-18
102014015604;9.2;2022-01-11
102014016699;9.1;2022-01-18
102014017753;11.2;2022-01-18
102014018752;9.1;2022-01-25
102014018833;9.1;2022-01-04
102014019079;9.1;2022-01-04
102014019491;11.2;2022-01-18
102014019874;11.2;2022-01-11
102014020066;9.1;2022-01-11
102014022020;9.1;2022-01-25
102014022191;9.1;2022-01-25
102014022994;9.1;2022-01-25
102014023175;11.2;2022-01-18
102014024290;9.1;2022-01-25
102014024544;9.1;2022-01-18
102014025161;11.2;2022-01-25
102014025178;9.1;2022-01-25
102014025566;9.1;2022-01-18
102014025712;9.1;2022-01-11
102014025871;9.1;2022-01-11
102014026317;9.1;2022-01-11
102014026525;9.1;2022-01-25
102014026545;9.1;2022-01-25
102014026672;9.1;2022-01-25
102014027336;9.1;2022-01-25
102014027777;9.2;2022-01-25
102014027821;9.2;2022-01-25
102014027846;9.1;2022-01-25
102014030213;9.1;2022-01-11
102014030371;9.2;2022-01-25
102014031499;9.1;2022-01-04
102014032373;9.1;2022-01-11
102014032550;9.1;2022-01-11
102015000914;9.1;2022-01-18
102015001887;9.1;2022-01-04
102015002680;9.1;2022-01-25
102015002798;9.1;2022-01-11
102015002941;9.1;2022-01-25
102015003365;9.1;2022-01-11
102015003511;11.2;2022-01-18
102015003984;11.2;2022-01-18
102015004038;9.2;2022-01-04
102015004172;9.1;2022-01-18
102015005245;9.1;2022-01-25
102015006610;9.1;2022-01-25
102015006830;9.1;2022-01-18
102015006854;9.1;2022-01-25
102015006958;9.1;2022-01-04
102015007748;9.2;2022-01-11
102015007752;9.1;2022-01-25
102015008456;9.1;2022-01-04
102015008650;9.1;2022-01-25
